Longitude,Latitude,Field,Dataset,Product,Feature ID,Date / Time,Duration(s),Area Count,Elevation(ft),Swath Width(ft),Y Offset(ft),Speed(mph),Distance(ft),Fuel Consumption Rate (Time)(gal(US)/h),Track(deg),Target Rate (Liquid)(gal(US)/ac),Rate (Volume)(gal(US)/ac),Segment ID,Pass Number,Productivity(ac/h),Date,Rate Quality,Rate (Volume) (Tough 5EC)(floz(US)/ac),Product Amount Used/Needed (Tough 5EC),Rate (Volume) (Laudis Herbicide)(floz(US)/ac),Product Amount Used/Needed (Laudis Herbicide),Rate (Mass) (Ag saver)(oz/ac),Rate (Volume) (Warrant Herbicide)(qt(US)/ac),Product Amount Used/Needed (Warrant Herbicide),Rate (Volume) (Fulltec Oil)(floz(US)/ac),Product Amount Used/Needed (Fulltec Oil),Rate (Volume) (Fulltec Adjuvant)(floz(US)/ac),Product Amount Used/Needed (Fulltec Adjuvant),Rate (Volume) (Water)(gal(US)/ac),Product Amount Used/Needed (Water),Rate (Volume) (Callisto)(floz(US)/ac),Product Amount Used/Needed (Callisto),Rate (Volume) (Ag saver)(floz(US)/ac),Product Amount Used/Needed (Ag saver),Rate (Mass) (AAtrex 4L Herbicide)(lb/ac),Rate (Volume) (Smackdown)(pt(US)/ac),Product Amount Used/Needed (Smackdown),Rate (Volume) (Surpass NXT)(pt(US)/ac),Rate (Mass) (Atrazine 4L)(lb/ac),Rate (Volume) (Gro Centric)(floz(US)/ac),Rate (Volume) (Water (1)~9)(gal(US)/ac),Product Amount Used/Needed,Area (ac)
-93.78163025,42.01980987,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,1,7/2/2025,0.200,On,1114.5,41.25,36.25,5.042,1.476,8.354,178.34,15.00,14.76,0,1,25.17,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.738,0.00026,3.937,4.300e-05,1.969,2.150e-05,14.05,0.020,0.00,0.00,23.62,0.00026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0014
-93.77900953,42.01733257,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,633,7/2/2025,0.999,On,1125.5,121.25,0.00,8.347,12.24,6.104,140.62,15.00,14.97,0,6,122.77,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0064,3.992,0.0011,1.996,0.00053,14.24,0.485,0.00,0.00,23.95,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77898119,42.01730637,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,634,7/2/2025,1.000,On,1125.7,121.25,0.00,8.361,12.27,6.585,140.38,15.00,14.97,0,6,122.95,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0064,3.991,0.0011,1.996,0.00053,14.24,0.486,0.00,0.00,23.95,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77895240,42.01728013,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,635,7/2/2025,1.001,On,1125.8,121.25,0.00,8.367,12.29,7.675,139.72,15.00,15.04,0,6,123.05,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.752,0.0064,4.010,0.0011,2.005,0.00054,14.31,0.490,0.00,0.00,24.06,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77892189,42.01725314,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,636,7/2/2025,1.000,On,1125.8,121.25,0.00,8.594,12.61,7.261,140.47,15.00,14.99,0,6,126.33,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0066,3.998,0.0011,1.999,0.00055,14.26,0.501,0.00,0.00,23.99,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77889110,42.01722538,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,637,7/2/2025,0.994,On,1125.7,121.25,0.00,8.884,12.96,6.205,141.29,15.00,14.97,0,6,130.64,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0067,3.991,0.0011,1.996,0.00056,14.24,0.514,0.00,0.00,23.95,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.77886094,42.01719724,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,638,7/2/2025,1.005,On,1125.8,121.25,0.00,8.926,13.17,6.710,141.09,15.00,14.89,0,6,131.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.745,0.0068,3.971,0.0011,1.985,0.00057,14.17,0.519,0.00,0.00,23.82,0.0068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77883066,42.01716885,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,639,7/2/2025,1.001,On,1125.9,121.25,0.00,8.955,13.13,6.719,140.30,15.00,14.97,0,6,131.44,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0068,3.993,0.0011,1.996,0.00057,14.24,0.521,0.00,0.00,23.96,0.0068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77879990,42.01714093,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,640,7/2/2025,0.994,On,1125.9,121.25,0.00,9.024,13.17,6.653,140.06,15.00,15.01,0,6,132.73,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0069,4.001,0.0011,2.001,0.00057,14.27,0.523,0.00,0.00,24.01,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77876871,42.01711275,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,641,7/2/2025,1.005,On,1125.8,121.25,0.00,9.014,13.28,6.149,140.50,15.00,15.00,0,6,132.42,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0069,3.999,0.0012,1.999,0.00058,14.27,0.527,0.00,0.00,23.99,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77873767,42.01708447,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,642,7/2/2025,1.000,On,1125.7,121.25,0.00,9.087,13.32,6.399,140.20,15.00,14.97,0,6,133.51,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0069,3.992,0.0012,1.996,0.00058,14.24,0.528,0.00,0.00,23.95,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77870659,42.01705625,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,643,7/2/2025,1.000,On,1125.6,121.25,0.00,9.079,13.31,6.512,139.29,15.00,14.97,0,6,133.38,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0069,3.993,0.0012,1.996,0.00058,14.24,0.528,0.00,0.00,23.96,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77867466,42.01702828,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,644,7/2/2025,0.996,On,1125.6,121.25,0.00,9.091,13.27,6.025,139.56,15.00,14.97,0,6,133.55,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0069,3.992,0.0012,1.996,0.00058,14.24,0.526,0.00,0.00,23.95,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77864248,42.01700061,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,645,7/2/2025,1.005,On,1125.5,121.25,0.00,9.093,13.38,6.315,140.54,15.00,15.01,0,6,133.43,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.002,0.0012,2.001,0.00058,14.28,0.532,0.00,0.00,24.01,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77861136,42.01697233,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,646,7/2/2025,0.999,On,1125.4,121.25,0.00,9.108,13.35,6.735,140.43,15.00,15.01,0,6,133.94,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.002,0.0012,2.001,0.00058,14.28,0.531,0.00,0.00,24.01,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77857992,42.01694342,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,647,7/2/2025,1.001,On,1125.3,121.25,0.00,9.181,13.46,5.805,139.57,15.00,14.97,0,6,134.76,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0070,3.992,0.0012,1.996,0.00058,14.24,0.534,0.00,0.00,23.95,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77854810,42.01691513,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,648,7/2/2025,0.995,On,1125.3,121.25,0.00,9.198,13.43,5.769,139.14,15.00,14.99,0,6,135.24,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0070,3.997,0.0012,1.998,0.00058,14.26,0.533,0.00,0.00,23.98,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77851644,42.01688769,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,649,7/2/2025,1.004,On,1125.1,121.25,0.00,9.086,13.37,6.831,139.16,15.00,15.00,0,6,133.40,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.000,0.0012,2.000,0.00058,14.27,0.531,0.00,0.00,24.00,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77848421,42.01685969,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,650,7/2/2025,1.000,On,1125.0,121.25,0.00,9.101,13.34,6.175,139.12,15.00,15.00,0,6,133.64,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.000,0.0012,2.000,0.00058,14.27,0.530,0.00,0.00,24.00,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77845211,42.01683195,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,651,7/2/2025,1.000,On,1125.0,121.25,0.00,9.142,13.40,6.529,139.55,15.00,15.03,0,6,134.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0070,4.008,0.0012,2.004,0.00058,14.30,0.533,0.00,0.00,24.05,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77841983,42.01680394,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,652,7/2/2025,1.000,On,1125.0,121.25,0.00,9.104,13.34,6.419,139.72,15.00,15.01,0,6,133.71,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.002,0.0012,2.001,0.00058,14.28,0.530,0.00,0.00,24.01,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77838812,42.01677616,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,653,7/2/2025,1.001,On,1125.0,121.25,0.00,9.129,13.38,6.950,139.35,15.00,14.98,0,6,133.93,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0070,3.995,0.0012,1.998,0.00058,14.25,0.531,0.00,0.00,23.97,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77835627,42.01674791,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,654,7/2/2025,0.999,On,1124.9,121.25,0.00,9.131,13.39,6.294,138.91,15.00,15.00,0,6,134.27,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.000,0.0012,2.000,0.00058,14.27,0.532,0.00,0.00,24.00,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77832401,42.01672010,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,655,7/2/2025,1.001,On,1124.9,121.25,0.00,9.123,13.39,6.667,139.16,15.00,15.00,0,6,134.00,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0070,4.001,0.0012,2.000,0.00058,14.27,0.532,0.00,0.00,24.01,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77829191,42.01669207,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,656,7/2/2025,0.999,On,1125.0,121.25,0.00,9.144,13.39,6.314,139.18,15.00,15.01,0,6,134.33,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0070,4.003,0.0012,2.002,0.00058,14.28,0.532,0.00,0.00,24.02,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77826028,42.01666452,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,657,7/2/2025,0.996,On,1125.1,121.25,0.00,9.091,13.27,6.435,138.81,15.00,15.00,0,6,133.55,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0069,3.999,0.0012,2.000,0.00058,14.27,0.527,0.00,0.00,24.00,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77822840,42.01663709,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,658,7/2/2025,1.000,On,1125.2,121.25,0.00,8.996,13.17,7.041,138.68,15.00,15.02,0,6,131.96,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0069,4.004,0.0011,2.002,0.00057,14.29,0.524,0.00,0.00,24.03,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77819630,42.01660957,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,659,7/2/2025,0.999,On,1125.1,121.25,0.00,9.024,13.23,6.574,138.57,15.00,15.00,0,6,132.66,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0069,4.000,0.0012,2.000,0.00058,14.27,0.525,0.00,0.00,24.00,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77816365,42.01658201,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,660,7/2/2025,1.006,On,1125.0,121.25,0.00,9.112,13.43,5.914,138.97,15.00,14.95,0,6,133.73,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0070,3.986,0.0012,1.993,0.00058,14.22,0.531,0.00,0.00,23.92,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77813130,42.01655426,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,661,7/2/2025,0.995,On,1124.9,121.25,0.00,9.134,13.34,6.493,138.61,15.00,14.93,0,6,134.31,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.746,0.0069,3.980,0.0012,1.990,0.00058,14.20,0.527,0.00,0.00,23.88,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77809947,42.01652681,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,662,7/2/2025,1.004,On,1124.8,121.25,0.00,9.087,13.38,6.417,136.69,15.00,14.98,0,6,133.50,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0070,3.995,0.0012,1.998,0.00058,14.25,0.531,0.00,0.00,23.97,0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77806650,42.01650034,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,663,7/2/2025,1.000,On,1124.7,121.25,0.00,9.019,13.22,6.134,134.93,15.00,15.00,0,6,132.49,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0069,4.001,0.0012,2.000,0.00058,14.27,0.525,0.00,0.00,24.01,0.0069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.037
-93.77803273,42.01647525,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,664,7/2/2025,1.000,On,1124.6,121.25,0.00,8.939,13.10,5.144,133.20,15.00,14.96,0,6,131.31,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0068,3.988,0.0011,1.994,0.00057,14.23,0.519,0.00,0.00,23.93,0.0068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.77799947,42.01645143,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,665,7/2/2025,0.995,On,1124.5,121.25,0.00,8.715,12.71,4.889,129.76,15.00,14.95,0,6,128.00,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.747,0.0066,3.987,0.0011,1.993,0.00055,14.22,0.503,0.00,0.00,23.92,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77796554,42.01642940,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,666,7/2/2025,1.000,On,1124.5,121.25,0.00,8.465,12.41,5.541,123.59,15.00,15.01,0,6,124.34,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0065,4.002,0.0011,2.001,0.00054,14.28,0.493,0.00,0.00,24.01,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77792870,42.01640933,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,667,7/2/2025,1.001,On,1124.3,121.25,0.00,8.433,12.36,6.163,114.98,15.00,15.01,0,6,123.75,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0065,4.004,0.0011,2.002,0.00054,14.28,0.492,0.00,0.00,24.02,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77788775,42.01639354,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,668,7/2/2025,1.000,On,1124.3,121.25,0.00,8.568,12.56,5.849,106.78,15.00,15.01,0,6,125.88,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0066,4.001,0.0011,2.001,0.00055,14.28,0.499,0.00,0.00,24.01,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77784431,42.01638266,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,669,7/2/2025,0.999,On,1124.3,121.25,0.00,8.534,12.51,6.206,99.89,15.00,15.02,0,6,125.48,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0065,4.007,0.0011,2.003,0.00054,14.29,0.498,0.00,0.00,24.04,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77779972,42.01637569,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,670,7/2/2025,1.001,On,1124.3,121.25,0.00,8.487,12.45,6.784,94.16,15.00,15.00,0,6,124.64,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0065,4.000,0.0011,2.000,0.00054,14.27,0.495,0.00,0.00,24.00,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77775403,42.01637238,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,671,7/2/2025,0.995,On,1124.3,121.25,0.00,8.492,12.39,6.368,91.42,15.00,14.99,0,6,124.76,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0065,3.997,0.0011,1.999,0.00054,14.26,0.492,0.00,0.00,23.98,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77770822,42.01637119,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,672,7/2/2025,1.004,On,1124.4,121.25,0.00,8.518,12.54,5.690,91.40,15.00,14.99,0,6,125.12,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0065,3.996,0.0011,1.998,0.00054,14.26,0.497,0.00,0.00,23.98,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77769903,42.01637108,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,673,7/2/2025,0.200,On,1124.4,121.25,0.00,8.487,2.487,5.805,91.66,15.00,14.97,0,6,124.60,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.748,0.0013,3.991,0.00022,1.996,0.00011,14.24,0.099,0.00,0.00,23.95,0.0013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0069
-93.77765357,42.01637053,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,674,7/2/2025,0.995,On,1124.5,120.00,-0.625,8.450,12.32,6.856,92.21,15.00,15.05,0,6,122.82,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.753,0.0064,4.015,0.0011,2.007,0.00053,14.32,0.486,0.00,0.00,24.09,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77760798,42.01636909,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,675,7/2/2025,1.000,On,1124.7,120.00,-0.625,8.470,12.41,6.585,89.95,15.00,14.98,0,6,123.09,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0064,3.996,0.0011,1.998,0.00053,14.25,0.487,0.00,0.00,23.97,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77756221,42.01636830,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,676,7/2/2025,1.000,On,1124.9,120.00,-0.625,8.496,12.45,6.814,86.71,15.00,15.03,0,6,123.51,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0064,4.008,0.0011,2.004,0.00054,14.30,0.491,0.00,0.00,24.05,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77751638,42.01636998,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,677,7/2/2025,1.000,On,1125.0,120.00,-0.625,8.454,12.39,6.753,86.40,15.00,15.02,0,6,122.89,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0064,4.005,0.0011,2.002,0.00053,14.29,0.488,0.00,0.00,24.03,0.0064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.034
-93.77748866,42.01637158,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,678,7/2/2025,0.605,On,1124.9,120.00,-0.625,8.534,7.566,6.037,86.63,15.00,14.99,0,6,124.02,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0039,3.997,0.00065,1.998,0.00033,14.26,0.297,0.00,0.00,23.98,0.0039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.021
-93.77744226,42.01637378,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,679,7/2/2025,0.995,On,1124.9,121.25,0.00,8.604,12.55,5.986,85.77,15.00,14.99,0,6,126.42,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.750,0.0065,3.998,0.0011,1.999,0.00055,14.26,0.498,0.00,0.00,23.99,0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77739629,42.01637604,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,680,7/2/2025,1.005,On,1125.0,121.25,0.00,8.582,12.64,6.438,83.93,15.00,14.98,0,6,126.04,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0066,3.995,0.0011,1.997,0.00055,14.25,0.501,0.00,0.00,23.97,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77734947,42.01637972,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,681,7/2/2025,1.000,On,1125.0,121.25,0.00,8.606,12.61,6.198,83.13,15.00,14.98,0,6,126.41,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0066,3.996,0.0011,1.998,0.00055,14.26,0.501,0.00,0.00,23.97,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77730304,42.01638400,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,682,7/2/2025,1.000,On,1124.9,121.25,0.00,8.729,12.80,5.265,82.97,15.00,14.98,0,6,128.25,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0067,3.994,0.0011,1.997,0.00056,14.25,0.508,0.00,0.00,23.96,0.0067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.036
-93.77725675,42.01638845,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,683,7/2/2025,1.000,On,1124.8,121.25,0.00,8.635,12.66,6.011,83.10,15.00,15.01,0,6,126.84,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.751,0.0066,4.003,0.0011,2.002,0.00055,14.28,0.503,0.00,0.00,24.02,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
-93.77721035,42.01639254,5,TaskName 7/2/2025 (GreenStar 4 Monitor),Enlist 1| Ag Saver| Warrant| & Clethodim,684,7/2/2025,1.000,On,1124.8,121.25,0.00,8.643,12.67,5.376,83.48,15.00,14.98,0,6,126.97,7/2/2025,Good,0.00,0.00,0.00,0.00,0.00,0.749,0.0066,3.996,0.0011,1.998,0.00055,14.25,0.503,0.00,0.00,23.97,0.0066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.035
